date,total_elevation_gain,durationMoving
2021-05-10,294.6239351465956,20.9333333333333
2021-06-02,189.8082077336666,32.4333333333333
2021-06-04,260.87397574509555,37.05
2021-06-11,194.52090513267768,40.3333333333333
2021-06-19,357.7040334898887,52.2
2021-06-20,239.72571929309623,47.3166666666667
2021-06-22,189.81959632583693,11.8833333333333
2021-06-22,175.74468590657787,15.7666666666667
2021-06-23,187.58876136779037,29.7666666666667
2021-06-25,197.22882830169556,26.3333333333333
2021-06-28,173.53715389550823,8.38333333333333
2021-06-28,183.88390744823727,12.25
2021-06-28,156.13460251245672,11.45
2021-07-01,178.52490616247655,15.0333333333333
2021-07-02,182.68554917287014,29.3
2021-07-03,188.32015698096046,31.3166666666667
2021-07-04,178.3459529627969,9.31666666666667
2021-07-04,251.9318246065673,33
2021-07-05,188.09312304021003,29.9333333333333
2021-07-07,216.19678666953928,28.45
2021-07-09,215.33082188918655,40.1
2021-07-12,194.92771486767282,11.1666666666667
2021-07-12,172.40000009034844,17.85
2021-07-14,187.42693921693424,15.6666666666667
2021-07-16,184.93660410900503,37.2166666666667
2021-07-16,169.70895656831544,55.7333333333333
2021-07-24,189.68724795267204,32.25
2021-07-25,273.57438181553505,48.0166666666667
2021-07-28,194.19154906384713,30.95
2021-07-30,192.29706649501514,27.0166666666667
2021-08-01,193.88125215182393,32.5166666666667
2021-08-02,189.77274531932176,31.7333333333333
2021-08-05,188.51393867847452,9.75
2021-08-05,94.05811151874815,25.2
2021-08-06,259.6902709149247,33.1
2021-08-06,190.83902302262334,5.61666666666667
2021-08-07,95.96361808137927,31.3333333333333
2021-08-08,265.52330656575566,47.6
2021-08-09,196.81382614609788,11.4
2021-08-09,167.34766817777592,20.4333333333333
2021-08-10,183.0674761160681,24.3166666666667
2021-08-15,214.874777926842,40.2833333333333
2021-08-16,197.20914385358813,30.1833333333333
2021-08-18,184.88236188543337,36.4666666666667
2021-08-23,177.7785880627459,40.2833333333333
2021-08-25,196.465478715239,8.08333333333333
2021-08-25,191.3565067746125,0.7
2021-08-25,189.35600145805725,28.4166666666667
2021-08-26,163.96809437507238,9.55
2021-08-26,187.4481846407834,12.75
2021-09-01,190.9354989916815,39.7666666666667
2021-09-02,192.06323969494582,30.85
2021-09-03,226.9953354082518,32.5666666666667
2021-09-05,166.5599301622525,66.85
2021-09-06,196.23497339296327,44.3166666666667
2021-09-09,184.30417093592624,39.9333333333333
2021-09-11,NA,0
2021-09-11,198.36752080296625,10.9166666666667
2021-09-12,249.07909476227124,33.1833333333333
2021-09-13,184.1768907133953,29.9833333333333
2021-09-14,179.7728576988774,12.1166666666667
2021-09-14,189.25697479977126,19.2666666666667
2021-09-17,181.06341999905274,29.5833333333333
2021-09-18,250.23161695347022,69.95
2021-09-19,172.58502454867102,7.81666666666667
2021-09-19,223.49125883239336,74.3333333333333
2021-09-20,190.0599640683551,9.6
2021-09-20,208.58757662836362,11.7833333333333
2021-09-22,190.81462126210062,32.2333333333333
2021-09-23,215.08953065100215,38.45
2021-09-23,216.3285172591691,58.8166666666667
2021-09-25,198.83237847809448,14.1666666666667
2021-09-26,194.51336023195034,31.15
2021-09-27,204.45129138623562,8.88333333333333
2021-09-27,203.0733693365037,7.3
2021-09-27,199.75788385099108,18.9
2021-09-28,197.648603568799,26.1
2021-09-29,206.25698222822504,12.7166666666667
2021-09-29,200.76145041716262,13.7
