Number,main name,other names
0,Zero,"aught, cipher, cypher, donut, dot, duck, goose egg, love, nada, naught, nil, none, nought, nowt, null, ought, oh, squat, zed, zilch, zip, zippo, Sunya (Sanskrit) "
1,One,"ace, individual, single, singleton, unary, unit, unity, Pratham(Sanskrit) "
2,Two,"binary, brace, couple, couplet, distich, deuce, double, doubleton, duad, duality, duet, duo, dyad, pair, span, twain, twin, twosome, yoke "
3,Three,"deuce-ace, leash, set, tercet, ternary, ternion, terzetto, threesome, tierce, trey, triad, trine, trinity, trio, triplet, troika, hat-trick "
4,Four,"foursome, quadruplet, quatern, quaternary, quaternity, quartet, tetrad "
5,Five,"cinque, fin, fivesome, pentad, quint, quintet, quintuplet "
6,Six,"half dozen, hexad, sestet, sextet, sextuplet, sise "
7,Seven,"heptad, septet, septuple, walking stick "
8,Eight,"octad, octave, octet, octonary, octuplet, ogdoad "
9,Nine,ennead 
10,Ten,"deca, decade, das (India) "
11,Eleven,"onze, ounze, ounce, banker's dozen "
12,Twelve,dozen 
13,Thirteen,"baker's dozen, long dozen[5] "
14,Fourteen,
15,Fifteen ,
16,Sixteen ,
17,Seventeen ,
18,Eighteen ,
19,Nineteen ,
20,Twenty,"score, "
21,Twenty-one,long score[5] 
22,Twenty-two,Deuce-deuce 
23,Twenty-three,
24,Twenty-four,two dozen 
25,Twenty-five,
26,Twenty-six ,
27,Twenty-seven ,
28,Twenty-eight ,
29,Twenty-nine ,
30,Thirty ,
31,Thirty-one ,
32,Thirty-two ,
40,Forty,two-score 
50,Fifty,half-century 
60,Sixty,three-score 
